r,h
3.000000000000000000e+01,8.576644537489398548e-21
3.009009009009009006e+01,-5.307633441681808978e-02
3.018018018018018012e+01,-1.059086428139257574e-01
3.027027027027027017e+01,-1.584991524316071709e-01
3.036036036036036023e+01,-2.108500561102543691e-01
3.045045045045045029e+01,-2.629635130329193160e-01
3.054054054054054035e+01,-3.148416494475528293e-01
3.063063063063063041e+01,-3.664865593695847967e-01
3.072072072072072046e+01,-4.179003052654757244e-01
3.081081081081081052e+01,-4.690849187178489643e-01
3.090090090090090058e+01,-5.200424010727890956e-01
3.099099099099099064e+01,-5.707747240698729518e-01
3.108108108108108070e+01,-6.212838304554787472e-01
3.117117117117117076e+01,-6.715716345798987685e-01
3.126126126126126081e+01,-7.216400229787659493e-01
3.135135135135135087e+01,-7.714908549392808235e-01
3.144144144144144093e+01,-8.211259630517142583e-01
3.153153153153153099e+01,-8.705471537466414889e-01
3.162162162162162105e+01,-9.197562078183469936e-01
3.171171171171171110e+01,-9.687548809348264234e-01
3.180180180180180116e+01,-1.017544904134794370e+00
3.189189189189189122e+01,-1.066127984312094990e+00
3.198198198198198128e+01,-1.114505804687899060e+00
3.207207207207207489e+01,-1.162680025271054740e+00
3.216216216216216139e+01,-1.210652283306939747e+00
3.225225225225225500e+01,-1.258424193715198758e+00
3.234234234234234151e+01,-1.305997349516618389e+00
3.243243243243243512e+01,-1.353373322249571409e+00
3.252252252252252163e+01,-1.400553662376219588e+00
3.261261261261261524e+01,-1.447539899678896180e+00
3.270270270270270174e+01,-1.494333543646837903e+00
3.279279279279279535e+01,-1.540936083853668093e+00
3.288288288288288186e+01,-1.587348990325777809e+00
3.297297297297297547e+01,-1.633573713901990798e+00
3.306306306306306197e+01,-1.679611686584645103e+00
3.315315315315315559e+01,-1.725464321882450802e+00
3.324324324324324209e+01,-1.771133015145248679e+00
3.333333333333333570e+01,-1.816619143891011312e+00
3.342342342342342221e+01,-1.861924068125194287e+00
3.351351351351351582e+01,-1.907049130652763491e+00
3.360360360360360232e+01,-1.951995657382996630e+00
3.369369369369369593e+01,-1.996764957627368053e+00
3.378378378378378244e+01,-2.041358324390599499e+00
3.387387387387387605e+01,-2.085777034655179829e+00
3.396396396396396256e+01,-2.130022349659417724e+00
3.405405405405405617e+01,-2.174095515169319093e+00
3.414414414414414267e+01,-2.217997761744348928e+00
3.423423423423423628e+01,-2.261730304997350061e+00
3.432432432432432279e+01,-2.305294345848668325e+00
3.441441441441441640e+01,-2.348691070774751921e+00
3.450450450450450290e+01,-2.391921652051264946e+00
3.459459459459459651e+01,-2.434987247990962000e+00
3.468468468468468302e+01,-2.477889003176369620e+00
3.477477477477477663e+01,-2.520628048687503231e+00
3.486486486486486314e+01,-2.563205502324656493e+00
3.495495495495495675e+01,-2.605622468826490845e+00
3.504504504504504325e+01,-2.647880040083448794e+00
3.513513513513513686e+01,-2.689979295346707655e+00
3.522522522522522337e+01,-2.731921301432696403e+00
3.531531531531531698e+01,-2.773707112923384788e+00
3.540540540540540349e+01,-2.815337772362354496e+00
3.549549549549549710e+01,-2.856814310446861960e+00
3.558558558558558360e+01,-2.898137746215890154e+00
3.567567567567567721e+01,-2.939309087234394102e+00
3.576576576576576372e+01,-2.980329329773738767e+00
3.585585585585585733e+01,-3.021199458988515385e+00
3.594594594594594383e+01,-3.061920449089738039e+00
3.603603603603603744e+01,-3.102493263514602084e+00
3.612612612612612395e+01,-3.142918855092790675e+00
3.621621621621621756e+01,-3.183198166209520785e+00
3.630630630630630407e+01,-3.223332128965297638e+00
3.639639639639639768e+01,-3.263321665332568955e+00
3.648648648648648418e+01,-3.303167687309246148e+00
3.657657657657657779e+01,-3.342871097069270991e+00
3.666666666666666430e+01,-3.382432787110202899e+00
3.675675675675675791e+01,-3.421853640397987562e+00
3.684684684684684441e+01,-3.461134530508888307e+00
3.693693693693693803e+01,-3.500276321768734711e+00
3.702702702702702453e+01,-3.539279869389460487e+00
3.711711711711711814e+01,-3.578146019603089201e+00
3.720720720720720465e+01,-3.616875609793129609e+00
3.729729729729729826e+01,-3.655469468623544493e+00
3.738738738738738476e+01,-3.693928416165241480e+00
3.747747747747747837e+01,-3.732253264020247929e+00
3.756756756756756488e+01,-3.770444815443527276e+00
3.765765765765765849e+01,-3.808503865462580684e+00
3.774774774774774500e+01,-3.846431200994795407e+00
3.783783783783783861e+01,-3.884227600962678384e+00
3.792792792792792511e+01,-3.921893836406941780e+00
3.801801801801801872e+01,-3.959430670597563928e+00
3.810810810810810523e+01,-3.996838859142796796e+00
3.819819819819819884e+01,-4.034119150096244333e+00
3.828828828828828534e+01,-4.071272284061969948e+00
3.837837837837837895e+01,-4.108298994297766349e+00
3.846846846846846546e+01,-4.145200006816536664e+00
3.855855855855855907e+01,-4.181976040485918311e+00
3.864864864864864558e+01,-4.218627807126098972e+00
3.873873873873873919e+01,-4.255156011605957467e+00
3.882882882882883280e+01,-4.291561351937469126e+00
3.891891891891891930e+01,-4.327844519368492016e+00
3.900900900900900581e+01,-4.364006198473936671e+00
3.909909909909909942e+01,-4.400047067245343335e+00
3.918918918918919303e+01,-4.435967797178906658e+00
3.927927927927927954e+01,-4.471769053362007362e+00
3.936936936936936604e+01,-4.507451494558256222e+00
3.945945945945945965e+01,-4.543015773291073423e+00
3.954954954954955326e+01,-4.578462535925854837e+00
3.963963963963963977e+01,-4.613792422750751854e+00
3.972972972972972627e+01,-4.649006068056094065e+00
3.981981981981981988e+01,-4.684104100212461042e+00
3.990990990990991349e+01,-4.719087141747458247e+00
4.000000000000000000e+01,-4.753955809421211320e+00
4.009009009009008651e+01,-4.788710714300621341e+00
4.018018018018018012e+01,-4.823352461832367766e+00
4.027027027027027373e+01,-4.857881651914716770e+00
4.036036036036036023e+01,-4.892298878968163400e+00
4.045045045045044674e+01,-4.926604732004912002e+00
4.054054054054054035e+01,-4.960799794697218879e+00
4.063063063063063396e+01,-4.994884645444626514e+00
4.072072072072072046e+01,-5.028859857440118653e+00
4.081081081081080697e+01,-5.062725998735211341e+00
4.090090090090090058e+01,-5.096483632303989708e+00
4.099099099099099419e+01,-5.130133316106121555e+00
4.108108108108108070e+01,-5.163675603148873527e+00
4.117117117117116720e+01,-5.197111041548148513e+00
4.126126126126126081e+01,-5.230440174588542490e+00
4.135135135135135442e+01,-5.263663540782461681e+00
4.144144144144144093e+01,-5.296781673928313339e+00
4.153153153153152743e+01,-5.329795103167794146e+00
4.162162162162162105e+01,-5.362704353042269112e+00
4.171171171171171466e+01,-5.395509943548281839e+00
4.180180180180180116e+01,-5.428212390192208581e+00
4.189189189189188767e+01,-5.460812204044072082e+00
4.198198198198198128e+01,-5.493309891790521426e+00
4.207207207207207489e+01,-5.525705955786998302e+00
4.216216216216216139e+01,-5.558000894109112799e+00
4.225225225225224790e+01,-5.590195200603244707e+00
4.234234234234234151e+01,-5.622289364936365885e+00
4.243243243243243512e+01,-5.654283872645107678e+00
4.252252252252252163e+01,-5.686179205184099139e+00
4.261261261261260813e+01,-5.717975839973588492e+00
4.270270270270270174e+01,-5.749674250446330070e+00
4.279279279279279535e+01,-5.781274906093782029e+00
4.288288288288288186e+01,-5.812778272511623712e+00
4.297297297297296836e+01,-5.844184811444600669e+00
4.306306306306306197e+01,-5.875494980830700875e+00
4.315315315315315559e+01,-5.906709234844671919e+00
4.324324324324324209e+01,-5.937828023940925348e+00
4.333333333333332860e+01,-5.968851794895798868e+00
4.342342342342342221e+01,-5.999780990849204798e+00
4.351351351351351582e+01,-6.030616051345669248e+00
4.360360360360360232e+01,-6.061357412374787756e+00
4.369369369369368883e+01,-6.092005506411099169e+00
4.378378378378378244e+01,-6.122560762453375105e+00
4.387387387387387605e+01,-6.153023606063347195e+00
4.396396396396396256e+01,-6.183394459403891652e+00
4.405405405405404906e+01,-6.213673741276672047e+00
4.414414414414414267e+01,-6.243861867159233192e+00
4.423423423423423628e+01,-6.273959249241575442e+00
4.432432432432432279e+01,-6.303966296462222729e+00
4.441441441441440929e+01,-6.333883414543778123e+00
4.450450450450450290e+01,-6.363711006027979344e+00
4.459459459459459651e+01,-6.393449470310260452e+00
4.468468468468468302e+01,-6.423099203673842794e+00
4.477477477477477663e+01,-6.452660599323351676e+00
4.486486486486486314e+01,-6.482134047417954292e+00
4.495495495495495675e+01,-6.511519935104063350e+00
4.504504504504504325e+01,-6.540818646547560178e+00
4.513513513513513686e+01,-6.570030562965614607e+00
4.522522522522522337e+01,-6.599156062658030564e+00
4.531531531531531698e+01,-6.628195521038199978e+00
4.540540540540540349e+01,-6.657149310663600161e+00
4.549549549549549710e+01,-6.686017801265919935e+00
4.558558558558558360e+01,-6.714801359780733669e+00
4.567567567567567721e+01,-6.743500350376818275e+00
4.576576576576576372e+01,-6.772115134485038546e+00
4.585585585585585733e+01,-6.800646070826884326e+00
4.594594594594594383e+01,-6.829093515442585804e+00
4.603603603603603744e+01,-6.857457821718893953e+00
4.612612612612612395e+01,-6.885739340416458631e+00
4.621621621621621046e+01,-6.913938419696873616e+00
4.630630630630630407e+01,-6.942055405149345937e+00
4.639639639639639768e+01,-6.970090639817015266e+00
4.648648648648648418e+01,-6.998044464222937577e+00
4.657657657657657069e+01,-7.025917216395728637e+00
4.666666666666666430e+01,-7.053709231894864651e+00
4.675675675675675791e+01,-7.081420843835655177e+00
4.684684684684684441e+01,-7.109052382913899848e+00
4.693693693693693092e+01,-7.136604177430223572e+00
4.702702702702702453e+01,-7.164076553314098206e+00
4.711711711711711814e+01,-7.191469834147545370e+00
4.720720720720720465e+01,-7.218784341188549725e+00
4.729729729729729826e+01,-7.246020393394176473e+00
4.738738738738739187e+01,-7.273178307443367352e+00
4.747747747747747837e+01,-7.300258397759477269e+00
4.756756756756756488e+01,-7.327260976532514292e+00
4.765765765765765849e+01,-7.354186353741092752e+00
4.774774774774775210e+01,-7.381034837174114571e+00
4.783783783783783861e+01,-7.407806732452176135e+00
4.792792792792792511e+01,-7.434502343048717599e+00
4.801801801801801872e+01,-7.461121970310893303e+00
4.810810810810811233e+01,-7.487665913480184621e+00
4.819819819819819884e+01,-7.514134469712764108e+00
4.828828828828828534e+01,-7.540527934099604757e+00
4.837837837837837895e+01,-7.566846599686339658e+00
4.846846846846847257e+01,-7.593090757492867660e+00
4.855855855855855907e+01,-7.619260696532734300e+00
4.864864864864864558e+01,-7.645356703832269396e+00
4.873873873873873919e+01,-7.671379064449485696e+00
4.882882882882883280e+01,-7.697328061492743956e+00
4.891891891891891930e+01,-7.723203976139206617e+00
4.900900900900900581e+01,-7.749007087653054349e+00
4.909909909909909942e+01,-7.774737673403490312e+00
4.918918918918919303e+01,-7.800396008882512611e+00
4.927927927927927954e+01,-7.825982367722491340e+00
4.936936936936936604e+01,-7.851497021713528035e+00
4.945945945945945965e+01,-7.876940240820604622e+00
4.954954954954955326e+01,-7.902312293200523641e+00
4.963963963963963977e+01,-7.927613445218654853e+00
4.972972972972972627e+01,-7.952843961465487332e+00
4.981981981981981988e+01,-7.978004104772972838e+00
4.990990990990991349e+01,-8.003094136230677336e+00
5.000000000000000000e+01,-8.028114315201751339e+00
5.009009009009008651e+01,-8.053064899338712834e+00
5.018018018018018012e+01,-8.077946144599033929e+00
5.027027027027027373e+01,-8.102758305260552518e+00
5.036036036036036023e+01,-8.127501633936700998e+00
5.045045045045044674e+01,-8.152176381591566212e+00
5.054054054054054035e+01,-8.176782797554769999e+00
5.063063063063063396e+01,-8.201321129536166765e+00
5.072072072072072046e+01,-8.225791623640386518e+00
5.081081081081080697e+01,-8.250194524381205596e+00
5.090090090090090058e+01,-8.274530074695753967e+00
5.099099099099099419e+01,-8.298798515958552002e+00
5.108108108108108070e+01,-8.323000087995392704e+00
5.117117117117116720e+01,-8.347135029097069392e+00
5.126126126126126081e+01,-8.371203576032947069e+00
5.135135135135135442e+01,-8.395205964064359705e+00
5.144144144144144093e+01,-8.419142426957892056e+00
5.153153153153152743e+01,-8.443013196998476744e+00
5.162162162162162105e+01,-8.466818505002375872e+00
5.171171171171171466e+01,-8.490558580329981453e+00
5.180180180180180116e+01,-8.514233650898498595e+00
5.189189189189188767e+01,-8.537843943194488361e+00
5.198198198198198128e+01,-8.561389682286254299e+00
5.207207207207207489e+01,-8.584871091836093981e+00
5.216216216216216139e+01,-8.608288394112427966e+00
5.225225225225224790e+01,-8.631641810001788429e+00
5.234234234234234151e+01,-8.654931559020667464e+00
5.243243243243243512e+01,-8.678157859327241042e+00
5.252252252252252163e+01,-8.701320927732965060e+00
5.261261261261260813e+01,-8.724420979714048840e+00
5.270270270270270174e+01,-8.747458229422793607e+00
5.279279279279279535e+01,-8.770432889698811962e+00
5.288288288288288186e+01,-8.793345172080121230e+00
5.297297297297296836e+01,-8.816195286814126675e+00
5.306306306306306197e+01,-8.838983442868483920e+00
5.315315315315315559e+01,-8.861709847941821039e+00
5.324324324324324209e+01,-8.884374708474384263e+00
5.333333333333332860e+01,-8.906978229658536250e+00
5.342342342342342221e+01,-8.929520615449163756e+00
5.351351351351351582e+01,-8.952002068573953864e+00
5.360360360360360232e+01,-8.974422790543577833e+00
5.369369369369368883e+01,-8.996782981661759493e+00
5.378378378378378244e+01,-9.019082841035244158e+00
5.387387387387387605e+01,-9.041322566583636089e+00
5.396396396396396256e+01,-9.063502355049170234e+00
5.405405405405404906e+01,-9.085622402006352516e+00
5.414414414414414267e+01,-9.107682901871513081e+00
5.423423423423423628e+01,-9.129684047912245859e+00
5.432432432432432279e+01,-9.151626032256764631e+00
5.441441441441440929e+01,-9.173509045903154302e+00
5.450450450450450290e+01,-9.195333278728522686e+00
5.459459459459459651e+01,-9.217098919498059928e+00
5.468468468468468302e+01,-9.238806155874005555e+00
5.477477477477476953e+01,-9.260455174424524927e+00
5.486486486486486314e+01,-9.282046160632486220e+00
5.495495495495495675e+01,-9.303579298904148587e+00
5.504504504504504325e+01,-9.325054772577766826e+00
5.513513513513512976e+01,-9.346472763932114347e+00
5.522522522522522337e+01,-9.367833454194890663e+00
5.531531531531531698e+01,-9.389137023551077377e+00
5.540540540540540349e+01,-9.410383651151182249e+00
5.549549549549548999e+01,-9.431573515119419326e+00
5.558558558558558360e+01,-9.452706792561796689e+00
5.567567567567567721e+01,-9.473783659574113614e+00
5.576576576576576372e+01,-9.494804291249897332e+00
5.585585585585585022e+01,-9.515768861688245650e+00
5.594594594594594383e+01,-9.536677544001594953e+00
5.603603603603603744e+01,-9.557530510323404727e+00
5.612612612612612395e+01,-9.578327931815774576e+00
5.621621621621621046e+01,-9.599069978676984860e+00
5.630630630630630407e+01,-9.619756820148950283e+00
5.639639639639639768e+01,-9.640388624524613093e+00
5.648648648648648418e+01,-9.660965559155245685e+00
5.657657657657657069e+01,-9.681487790457715903e+00
5.666666666666666430e+01,-9.701955483921631540e+00
5.675675675675675791e+01,-9.722368804116458207e+00
5.684684684684684441e+01,-9.742727914698537717e+00
5.693693693693693092e+01,-9.763032978418056729e+00
5.702702702702702453e+01,-9.783284157125939018e+00
5.711711711711711814e+01,-9.803481611780664906e+00
5.720720720720720465e+01,-9.823625502455039182e+00
5.729729729729729115e+01,-9.843715988342875534e+00
5.738738738738738476e+01,-9.863753227765636566e+00
5.747747747747747837e+01,-9.883737378178986788e+00
5.756756756756756488e+01,-9.903668596179294070e+00
5.765765765765765138e+01,-9.923547037510084934e+00
5.774774774774774500e+01,-9.943372857068400350e+00
5.783783783783783861e+01,-9.963146208911119572e+00
5.792792792792792511e+01,-9.982867246261214689e+00
5.801801801801801162e+01,-1.000253612151395188e+01
5.810810810810810523e+01,-1.002215298624301809e+01
5.819819819819819884e+01,-1.004171799120660147e+01
5.828828828828828534e+01,-1.006123128635341502e+01
5.837837837837837185e+01,-1.008069302082865448e+01
5.846846846846846546e+01,-1.010010334297991363e+01
5.855855855855855907e+01,-1.011946240036302669e+01
5.864864864864864558e+01,-1.013877033974786102e+01
5.873873873873873208e+01,-1.015802730712407609e+01
5.882882882882882569e+01,-1.017723344770679539e+01
5.891891891891891930e+01,-1.019638890594224634e+01
5.900900900900900581e+01,-1.021549382551333629e+01
5.909909909909909942e+01,-1.023454834934520008e+01
5.918918918918919303e+01,-1.025355261961065700e+01
5.927927927927927954e+01,-1.027250677773565180e+01
5.936936936936936604e+01,-1.029141096440462810e+01
5.945945945945945965e+01,-1.031026531956586290e+01
5.954954954954955326e+01,-1.032906998243673335e+01
5.963963963963963977e+01,-1.034782509150895358e+01
5.972972972972972627e+01,-1.036653078455376153e+01
5.981981981981981988e+01,-1.038518719862704920e+01
5.990990990990991349e+01,-1.040379447007445002e+01
6.000000000000000000e+01,-1.042235273453637845e+01
6.009009009009008651e+01,-1.044086212695303573e+01
6.018018018018018012e+01,-1.045932278156934814e+01
6.027027027027027373e+01,-1.047773483193988042e+01
6.036036036036036023e+01,-1.049609841093368878e+01
6.045045045045044674e+01,-1.051441365073915257e+01
6.054054054054054035e+01,-1.053268068286873138e+01
6.063063063063063396e+01,-1.055089963816370968e+01
6.072072072072072046e+01,-1.056907064679887398e+01
6.081081081081080697e+01,-1.058719383828716687e+01
6.090090090090090058e+01,-1.060526934148429312e+01
6.099099099099099419e+01,-1.062329728459327782e+01
6.108108108108108070e+01,-1.064127779516898897e+01
6.117117117117116720e+01,-1.065921100012262990e+01
6.126126126126126081e+01,-1.067709702572617658e+01
6.135135135135135442e+01,-1.069493599761677771e+01
6.144144144144144093e+01,-1.071272804080112451e+01
6.153153153153152743e+01,-1.073047327965978148e+01
6.162162162162162105e+01,-1.074817183795147102e+01
6.171171171171171466e+01,-1.076582383881732063e+01
6.180180180180180116e+01,-1.078342940478508005e+01
6.189189189189188767e+01,-1.080098865777330275e+01
6.198198198198198128e+01,-1.081850171909548486e+01
6.207207207207206778e+01,-1.083596870946415791e+01
6.216216216216216139e+01,-1.085338974899497977e+01
6.225225225225224790e+01,-1.087076495721074565e+01
6.234234234234234151e+01,-1.088809445304540269e+01
6.243243243243242802e+01,-1.090537835484800588e+01
6.252252252252252163e+01,-1.092261678038665451e+01
6.261261261261260813e+01,-1.093980984685238056e+01
6.270270270270270174e+01,-1.095695767086301586e+01
6.279279279279278825e+01,-1.097406036846702371e+01
6.288288288288288186e+01,-1.099111805514729490e+01
6.297297297297296836e+01,-1.100813084582490120e+01
6.306306306306306197e+01,-1.102509885486284880e+01
6.315315315315314848e+01,-1.104202219606976065e+01
6.324324324324324209e+01,-1.105890098270355537e+01
6.333333333333332860e+01,-1.107573532747507628e+01
6.342342342342342221e+01,-1.109252534255171518e+01
6.351351351351350871e+01,-1.110927113956096868e+01
6.360360360360360232e+01,-1.112597282959400147e+01
6.369369369369368883e+01,-1.114263052320915470e+01
6.378378378378378244e+01,-1.115924433043543651e+01
6.387387387387386894e+01,-1.117581436077597878e+01
6.396396396396396256e+01,-1.119234072321147089e+01
6.405405405405404906e+01,-1.120882352620354716e+01
6.414414414414414978e+01,-1.122526287769818332e+01
6.423423423423423628e+01,-1.124165888512901290e+01
6.432432432432432279e+01,-1.125801165542066506e+01
6.441441441441440929e+01,-1.127432129499204549e+01
6.450450450450449580e+01,-1.129058790975959781e+01
6.459459459459459651e+01,-1.130681160514054184e+01
6.468468468468468302e+01,-1.132299248605607289e+01
6.477477477477478374e+01,-1.133913065693456446e+01
