r,h
2.500000000000000000e+01,-1.773243390947541032e-21
2.509509509509509684e+01,-4.437677491726398082e-02
2.519019019019019012e+01,-8.853741355557588621e-02
2.528528528528528696e+01,-1.324840298606015099e-01
2.538038038038038025e+01,-1.762187046485118591e-01
2.547547547547547708e+01,-2.197434862845272507e-01
2.557057057057057037e+01,-2.630603913449762743e-01
2.566566566566566721e+01,-3.061714052633647265e-01
2.576076076076076049e+01,-3.490784829608328810e-01
2.585585585585585733e+01,-3.917835494614717029e-01
2.595095095095095061e+01,-4.342885004928521697e-01
2.604604604604604745e+01,-4.765952030722143129e-01
2.614114114114114074e+01,-5.187054960786484648e-01
2.623623623623623757e+01,-5.606211908116928155e-01
2.633133133133133086e+01,-6.023440715366573661e-01
2.642642642642642770e+01,-6.438758960170793966e-01
2.652152152152152098e+01,-6.852183960345989977e-01
2.661661661661661782e+01,-7.263732778966396353e-01
2.671171171171171110e+01,-7.673422229321653631e-01
2.680680680680680794e+01,-8.081268879758785051e-01
2.690190190190190123e+01,-8.487289058411129350e-01
2.699699699699699806e+01,-8.891498857817694557e-01
2.709209209209209135e+01,-9.293914139435307531e-01
2.718718718718718819e+01,-9.694550538046852184e-01
2.728228228228228147e+01,-1.009342346606783236e+00
2.737737737737737831e+01,-1.049054811775438134e+00
2.747247247247247159e+01,-1.088593947331480072e+00
2.756756756756756843e+01,-1.127961230292761075e+00
2.766266266266266172e+01,-1.167158117066806167e+00
2.775775775775775855e+01,-1.206186043834592603e+00
2.785285285285285184e+01,-1.245046426925640048e+00
2.794794794794794868e+01,-1.283740663184682607e+00
2.804304304304304196e+01,-1.322270130330089444e+00
2.813813813813813880e+01,-1.360636187304293365e+00
2.823323323323323208e+01,-1.398840174616385434e+00
2.832832832832832892e+01,-1.436883414677120330e+00
2.842342342342342221e+01,-1.474767212126478100e+00
2.851851851851851904e+01,-1.512492854154019684e+00
2.861361361361361233e+01,-1.550061610812170532e+00
2.870870870870870917e+01,-1.587474735322656594e+00
2.880380380380380245e+01,-1.624733464376219683e+00
2.889889889889889929e+01,-1.661839018425825820e+00
2.899399399399399258e+01,-1.698792601973485583e+00
2.908908908908908941e+01,-1.735595403850888507e+00
2.918418418418418270e+01,-1.772248597493963018e+00
2.927927927927927954e+01,-1.808753341211556620e+00
2.937437437437437282e+01,-1.845110778448336042e+00
2.946946946946946966e+01,-1.881322038042097411e+00
2.956456456456456294e+01,-1.917388234475578157e+00
2.965965965965965978e+01,-1.953310468122949173e+00
2.975475475475475662e+01,-1.989089825491076935e+00
2.984984984984984990e+01,-2.024727379455716125e+00
2.994494494494494319e+01,-2.060224189492742664e+00
3.004004004004004003e+01,-2.095581301904542393e+00
3.013513513513513686e+01,-2.130799750041679097e+00
3.023023023023023015e+01,-2.165880554519960643e+00
3.032532532532532343e+01,-2.200824723433010721e+00
3.042042042042042027e+01,-2.235633252560446760e+00
3.051551551551551711e+01,-2.270307125571774609e+00
3.061061061061061039e+01,-2.304847314226111443e+00
3.070570570570570368e+01,-2.339254778567824822e+00
3.080080080080080052e+01,-2.373530467118187826e+00
3.089589589589589735e+01,-2.407675317063139975e+00
3.099099099099099064e+01,-2.441690254437262730e+00
3.108608608608608392e+01,-2.475576194304042854e+00
3.118118118118118076e+01,-2.509334040932513776e+00
3.127627627627627760e+01,-2.542964687970361126e+00
3.137137137137137088e+01,-2.576469018613579465e+00
3.146646646646646417e+01,-2.609847905772760157e+00
3.156156156156156101e+01,-2.643102212236079218e+00
3.165665665665665784e+01,-2.676232790829065511e+00
3.175175175175175113e+01,-2.709240484571236784e+00
3.184684684684684441e+01,-2.742126126829661281e+00
3.194194194194194125e+01,-2.774890541469515082e+00
3.203703703703703809e+01,-2.807534543001710681e+00
3.213213213213212782e+01,-2.840058936727662076e+00
3.222722722722722466e+01,-2.872464518881262752e+00
3.232232232232232150e+01,-2.904752076768101876e+00
3.241741741741741833e+01,-2.936922388902031500e+00
3.251251251251251517e+01,-2.968976225139112302e+00
3.260760760760760490e+01,-3.000914346809002264e+00
3.270270270270270174e+01,-3.032737506843862008e+00
3.279779779779779858e+01,-3.064446449904795866e+00
3.289289289289289542e+01,-3.096041912505928195e+00
3.298798798798798515e+01,-3.127524623136137105e+00
3.308308308308308199e+01,-3.158895302378515790e+00
3.317817817817817883e+01,-3.190154663027582327e+00
3.327327327327327566e+01,-3.221303410204332529e+00
3.336836836836836540e+01,-3.252342241469141637e+00
3.346346346346346223e+01,-3.283271846932594773e+00
3.355855855855855907e+01,-3.314092909364255490e+00
3.365365365365364880e+01,-3.344806104299452798e+00
3.374874874874874564e+01,-3.375412100144120409e+00
3.384384384384384248e+01,-3.405911558277701534e+00
3.393893893893893932e+01,-3.436305133154205826e+00
3.403403403403403615e+01,-3.466593472401429121e+00
3.412912912912912589e+01,-3.496777216918379505e+00
3.422422422422422272e+01,-3.526857000970962996e+00
3.431931931931931956e+01,-3.556833452285935948e+00
3.441441441441441640e+01,-3.586707192143197442e+00
3.450950950950951324e+01,-3.616478835466429231e+00
3.460460460460460297e+01,-3.646148990912131627e+00
3.469969969969969981e+01,-3.675718260957090866e+00
3.479479479479479664e+01,-3.705187241984289503e+00
3.488988988988988638e+01,-3.734556524367322439e+00
3.498498498498498321e+01,-3.763826692553342568e+00
3.508008008008008005e+01,-3.792998325144534721e+00
3.517517517517517689e+01,-3.822071994978200049e+00
3.527027027027027373e+01,-3.851048269205438856e+00
3.536536536536536346e+01,-3.879927709368479416e+00
