r,h
2.000000000000000000e+01,-2.841298335421867967e-20
2.010010010010010006e+01,-3.596273810065053755e-02
2.020020020020020013e+01,-7.171711857196381990e-02
2.030030030030030019e+01,-1.072655115833285461e-01
2.040040040040040026e+01,-1.426102463259631414e-01
2.050050050050050032e+01,-1.777536119336817488e-01
2.060060060060060039e+01,-2.126978583785502086e-01
2.070070070070070045e+01,-2.474451973422293061e-01
2.080080080080080052e+01,-2.819978030637722011e-01
2.090090090090090058e+01,-3.163578131646170855e-01
2.100100100100100065e+01,-3.505273294514887339e-01
2.110110110110110071e+01,-3.845084186978977581e-01
2.120120120120120077e+01,-4.183031134049027822e-01
2.130130130130130084e+01,-4.519134125417753056e-01
2.140140140140140090e+01,-4.853412822671868132e-01
2.150150150150150097e+01,-5.185886566315157653e-01
2.160160160160160103e+01,-5.516574382608493421e-01
2.170170170170170110e+01,-5.845494990232377175e-01
2.180180180180180116e+01,-6.172666806777374893e-01
2.190190190190190123e+01,-6.498107955067635721e-01
2.200200200200200129e+01,-6.821836269322497648e-01
2.210210210210210136e+01,-7.143869301161032137e-01
2.220220220220220142e+01,-7.464224325454195119e-01
2.230230230230230148e+01,-7.782918346029106260e-01
2.240240240240240155e+01,-8.099968101229821915e-01
2.250250250250250161e+01,-8.415390069338825052e-01
2.260260260260260168e+01,-8.729200473863297782e-01
2.270270270270270174e+01,-9.041415288690143326e-01
2.280280280280280181e+01,-9.352050243113552153e-01
2.290290290290290187e+01,-9.661120826738794909e-01
2.300300300300300194e+01,-9.968642294265830373e-01
2.310310310310310200e+01,-1.027462967015615680e+00
2.320320320320320207e+01,-1.057909775318624623e+00
2.330330330330330213e+01,-1.088206112089080246e+00
2.340340340340340219e+01,-1.118353413389895579e+00
2.350350350350350226e+01,-1.148353094016640208e+00
2.360360360360360232e+01,-1.178206547910645163e+00
2.370370370370370239e+01,-1.207915148562278995e+00
2.380380380380380245e+01,-1.237480249404667942e+00
2.390390390390390252e+01,-1.266903184198130861e+00
2.400400400400400258e+01,-1.296185267405579378e+00
2.410410410410410265e+01,-1.325327794559137740e+00
2.420420420420420271e+01,-1.354332042618221044e+00
2.430430430430430278e+01,-1.383199270319304564e+00
2.440440440440440284e+01,-1.411930718517612204e+00
