r,h
1.000000000000000000e+01,3.346299799865084373e-20
1.011011011011011007e+01,-1.882883392860090765e-02
1.022022022022022014e+01,-3.744513388720296237e-02
1.033033033033033021e+01,-5.585361531670520602e-02
1.044044044044044028e+01,-7.405883597661355733e-02
1.055055055055055035e+01,-9.206520294544916216e-02
1.066066066066066043e+01,-1.098769792351560193e-01
1.077077077077077050e+01,-1.274982900448369538e-01
1.088088088088088057e+01,-1.449331286772269356e-01
1.099099099099099064e+01,-1.621853621395572820e-01
1.110110110110110071e+01,-1.792587364488575918e-01
1.121121121121121078e+01,-1.961568816602703713e-01
1.132132132132132085e+01,-2.128833166356034479e-01
1.143143143143143092e+01,-2.294414535681069955e-01
1.154154154154154099e+01,-2.458346022783238216e-01
1.165165165165165106e+01,-2.620659742948148740e-01
1.176176176176176114e+01,-2.781386867326001155e-01
1.187187187187187121e+01,-2.940557659812672586e-01
1.198198198198198128e+01,-3.098201512138833991e-01
1.209209209209209135e+01,-3.254346977270917152e-01
1.220220220220220142e+01,-3.409021801220770143e-01
1.231231231231231149e+01,-3.562252953354428930e-01
1.242242242242242156e+01,-3.714066655284464225e-01
1.253253253253253163e+01,-3.864488408424865962e-01
1.264264264264264170e+01,-4.013543020282330787e-01
1.275275275275275177e+01,-4.161254629553087225e-01
1.286286286286286185e+01,-4.307646730090008980e-01
1.297297297297297369e+01,-4.452742193800709458e-01
1.308308308308308376e+01,-4.596563292533510370e-01
1.319319319319319384e+01,-4.739131719004707755e-01
1.330330330330330391e+01,-4.880468606817235377e-01
1.341341341341341398e+01,-5.020594549617835023e-01
1.352352352352352405e+01,-5.159529619436993286e-01
1.363363363363363412e+01,-5.297293384253272119e-01
1.374374374374374419e+01,-5.433904924821189031e-01
1.385385385385385426e+01,-5.569382850799532436e-01
1.396396396396396433e+01,-5.703745316214835492e-01
1.407407407407407440e+01,-5.837010034292743343e-01
1.418418418418418447e+01,-5.969194291688132425e-01
1.429429429429429455e+01,-6.100314962143098541e-01
1.440440440440440462e+01,-6.230388519600290609e-01
1.451451451451451469e+01,-6.359431050797532681e-01
1.462462462462462476e+01,-6.487458267368254594e-01
1.473473473473473483e+01,-6.614485517470897191e-01
1.484484484484484490e+01,-6.740527796969184582e-01
1.495495495495495497e+01,-6.865599760184019074e-01
1.506506506506506504e+01,-6.989715730236575331e-01
1.517517517517517511e+01,-7.112889709001203320e-01
1.528528528528528518e+01,-7.235135386685704884e-01
1.539539539539539525e+01,-7.356466151055663927e-01
1.550550550550550533e+01,-7.476895096318643130e-01
1.561561561561561540e+01,-7.596435031683231864e-01
1.572572572572572547e+01,-7.715098489607165044e-01
1.583583583583583554e+01,-7.832897733748016567e-01
1.594594594594594739e+01,-7.949844766629300397e-01
1.605605605605605746e+01,-8.065951337034126256e-01
1.616616616616616753e+01,-8.181228947138023955e-01
1.627627627627627760e+01,-8.295688859391904257e-01
1.638638638638638767e+01,-8.409342103165631244e-01
1.649649649649649774e+01,-8.522199481162172630e-01
1.660660660660660781e+01,-8.634271575611777161e-01
1.671671671671671788e+01,-8.745568754255218513e-01
1.682682682682682795e+01,-8.856101176124686614e-01
1.693693693693693803e+01,-8.965878797130505395e-01
1.704704704704704810e+01,-9.074911375461485186e-01
1.715715715715715817e+01,-9.183208476806333787e-01
1.726726726726726824e+01,-9.290779479403228347e-01
1.737737737737737831e+01,-9.397633578924294850e-01
1.748748748748748838e+01,-9.503779793201467818e-01
1.759759759759759845e+01,-9.609226966799878644e-01
1.770770770770770852e+01,-9.713983775444655633e-01
1.781781781781781859e+01,-9.818058730306765680e-01
1.792792792792792866e+01,-9.921460182153248875e-01
1.803803803803803874e+01,-1.002419632536699856e+00
1.814814814814814881e+01,-1.012627520184097518e+00
1.825825825825825888e+01,-1.022770470475153903e+00
1.836836836836836895e+01,-1.032849258221543165e+00
1.847847847847847902e+01,-1.042864644083462355e+00
1.858858858858858909e+01,-1.052817374913322945e+00
1.869869869869869916e+01,-1.062708184089034891e+00
1.880880880880880923e+01,-1.072537791837262944e+00
1.891891891891891930e+01,-1.082306905547018250e+00
1.902902902902902937e+01,-1.092016220073927624e+00
1.913913913913913944e+01,-1.101666418035512462e+00
1.924924924924924952e+01,-1.111258170097797038e+00
1.935935935935935959e+01,-1.120792135253550370e+00
1.946946946946946966e+01,-1.130268961092450786e+00
1.957957957957957973e+01,-1.139689284063458041e+00
1.968968968968968980e+01,-1.149053729729658357e+00
1.979979979979979987e+01,-1.158362913015844153e+00
1.990990990990990994e+01,-1.167617438449072065e+00
2.002002002002002001e+01,-1.176817900392441940e+00
2.013013013013013008e+01,-1.185964883272320858e+00
2.024024024024024015e+01,-1.195058961799237096e+00
2.035035035035035023e+01,-1.204100701182650557e+00
2.046046046046046030e+01,-1.213090657339805478e+00
2.057057057057057037e+01,-1.222029377098858394e+00
2.068068068068068044e+01,-1.230917398396472517e+00
2.079079079079079051e+01,-1.239755250470054637e+00
2.090090090090090058e+01,-1.248543454044812151e+00
2.101101101101101065e+01,-1.257282521515793894e+00
2.112112112112112072e+01,-1.265972957125078846e+00
2.123123123123123079e+01,-1.274615257134264823e+00
2.134134134134134086e+01,-1.283209909992409248e+00
2.145145145145145094e+01,-1.291757396499561228e+00
2.156156156156156101e+01,-1.300258189966028599e+00
2.167167167167167108e+01,-1.308712756367508279e+00
2.178178178178178115e+01,-1.317121554496212044e+00
2.189189189189189477e+01,-1.325485036108109638e+00
2.200200200200200129e+01,-1.333803646066407556e+00
2.211211211211211491e+01,-1.342077822481384963e+00
2.222222222222222143e+01,-1.350307996846683789e+00
2.233233233233233506e+01,-1.358494594172180214e+00
2.244244244244244157e+01,-1.366638033113518391e+00
2.255255255255255520e+01,-1.374738726098428288e+00
2.266266266266266172e+01,-1.382797079449902267e+00
2.277277277277277534e+01,-1.390813493506343868e+00
2.288288288288288186e+01,-1.398788362738759838e+00
2.299299299299299548e+01,-1.406722075865097787e+00
2.310310310310310200e+01,-1.414615015961799616e+00
2.321321321321321562e+01,-1.422467560572664436e+00
2.332332332332332214e+01,-1.430280081815084703e+00
2.343343343343343577e+01,-1.438052946483747263e+00
2.354354354354354228e+01,-1.445786516151855272e+00
2.365365365365365591e+01,-1.453481147269957363e+00
2.376376376376376243e+01,-1.461137191262437129e+00
2.387387387387387605e+01,-1.468754994621743970e+00
2.398398398398398257e+01,-1.476334899000414369e+00
2.409409409409409619e+01,-1.483877241300957994e+00
2.420420420420420271e+01,-1.491382353763657020e+00
2.431431431431431633e+01,-1.498850564052347734e+00
2.442442442442442285e+01,-1.506282195338227270e+00
2.453453453453453648e+01,-1.513677566381754325e+00
2.464464464464464299e+01,-1.521036991612680689e+00
2.475475475475475662e+01,-1.528360781208278896e+00
2.486486486486486314e+01,-1.535649241169801726e+00
2.497497497497497676e+01,-1.542902673397233082e+00
2.508508508508508328e+01,-1.550121375762365306e+00
2.519519519519519690e+01,-1.557305642180258243e+00
2.530530530530530342e+01,-1.564455762679111350e+00
2.541541541541541704e+01,-1.571572023468604140e+00
2.552552552552552356e+01,-1.578654707006731828e+00
2.563563563563563719e+01,-1.585704092065187920e+00
2.574574574574574370e+01,-1.592720453793319724e+00
2.585585585585585733e+01,-1.599704063780708729e+00
2.596596596596596385e+01,-1.606655190118392751e+00
2.607607607607607747e+01,-1.613574097458784662e+00
2.618618618618618754e+01,-1.620461047074303496e+00
2.629629629629629761e+01,-1.627316296914765426e+00
2.640640640640640768e+01,-1.634140101663555056e+00
2.651651651651651775e+01,-1.640932712792614767e+00
2.662662662662662783e+01,-1.647694378616279209e+00
2.673673673673673790e+01,-1.654425344343984028e+00
2.684684684684684797e+01,-1.661125852131878577e+00
2.695695695695695804e+01,-1.667796141133367271e+00
2.706706706706706811e+01,-1.674436447548608875e+00
2.717717717717717818e+01,-1.681047004672997280e+00
2.728728728728728825e+01,-1.687628042944651074e+00
2.739739739739739832e+01,-1.694179789990933882e+00
2.750750750750750839e+01,-1.700702470674030575e+00
2.761761761761761846e+01,-1.707196307135601776e+00
2.772772772772772854e+01,-1.713661518840539300e+00
2.783783783783783861e+01,-1.720098322619844522e+00
2.794794794794794868e+01,-1.726506932712648323e+00
2.805805805805805875e+01,-1.732887560807398364e+00
2.816816816816816882e+01,-1.739240416082226348e+00
2.827827827827827889e+01,-1.745565705244521260e+00
2.838838838838838896e+01,-1.751863632569724327e+00
2.849849849849849903e+01,-1.758134399939363268e+00
2.860860860860860910e+01,-1.764378206878345567e+00
2.871871871871871917e+01,-1.770595250591526781e+00
2.882882882882882924e+01,-1.776785725999572518e+00
2.893893893893893932e+01,-1.782949825774126751e+00
2.904904904904904939e+01,-1.789087740372307334e+00
2.915915915915915946e+01,-1.795199658070540494e+00
2.926926926926926953e+01,-1.801285764997750283e+00
2.937937937937937960e+01,-1.807346245167919419e+00
2.948948948948948967e+01,-1.813381280512032623e+00
2.959959959959959974e+01,-1.819391050909420882e+00
2.970970970970970981e+01,-1.825375734218514623e+00
2.981981981981981988e+01,-1.831335506307024019e+00
2.992992992992992995e+01,-1.837270541081556852e+00
3.004004004004004003e+01,-1.843181010516685481e+00
3.015015015015015010e+01,-1.849067084683479134e+00
3.026026026026026017e+01,-1.854928931777508394e+00
3.037037037037037024e+01,-1.860766718146336762e+00
3.048048048048048031e+01,-1.866580608316509737e+00
3.059059059059059038e+01,-1.872370765020052286e+00
3.070070070070070045e+01,-1.878137349220485142e+00
3.081081081081081052e+01,-1.883880520138371484e+00
3.092092092092092059e+01,-1.889600435276402868e+00
3.103103103103103066e+01,-1.895297250444034409e+00
3.114114114114114074e+01,-1.900971119781680763e+00
3.125125125125125081e+01,-1.906622195784479112e+00
3.136136136136136088e+01,-1.912250629325632056e+00
3.147147147147147095e+01,-1.917856569679336154e+00
3.158158158158158102e+01,-1.923440164543306796e+00
3.169169169169169109e+01,-1.929001560060907394e+00
3.180180180180180116e+01,-1.934540900842890432e+00
3.191191191191191123e+01,-1.940058329988760821e+00
3.202202202202202130e+01,-1.945553989107766446e+00
3.213213213213212782e+01,-1.951028018339525438e+00
3.224224224224224145e+01,-1.956480556374297963e+00
3.235235235235235507e+01,-1.961911740472908505e+00
3.246246246246246159e+01,-1.967321706486326649e+00
3.257257257257256811e+01,-1.972710588874915016e+00
3.268268268268268173e+01,-1.978078520727347245e+00
3.279279279279279535e+01,-1.983425633779205555e+00
