r,h
4.000000000000000000e+01,-1.667929298951997118e-18
4.008008008008008005e+01,-7.369032149862486669e-02
4.016016016016016010e+01,-1.470499740370877217e-01
4.024024024024024015e+01,-2.200821474409127565e-01
4.032032032032032021e+01,-2.927899780402736241e-01
4.040040040040040026e+01,-3.651765498888335792e-01
4.048048048048048031e+01,-4.372448959513762778e-01
4.056056056056056036e+01,-5.089979992609250381e-01
4.064064064064064041e+01,-5.804387940460447037e-01
4.072072072072072046e+01,-6.515701668290144744e-01
4.080080080080080052e+01,-7.223949574955550457e-01
4.088088088088088057e+01,-7.929159603367853526e-01
4.096096096096096062e+01,-8.631359250640781022e-01
4.104104104104104067e+01,-9.330575577974756785e-01
4.112112112112112072e+01,-1.002683522028317453e+00
4.120120120120120077e+01,-1.072016439556721545e+00
4.128128128128128083e+01,-1.141058891404557407e+00
4.136136136136136088e+01,-1.209813418704529520e+00
4.144144144144144093e+01,-1.278282523565988482e+00
4.152152152152152098e+01,-1.346468669918071903e+00
4.160160160160160103e+01,-1.414374284330767839e+00
4.168168168168168108e+01,-1.482001756814482762e+00
4.176176176176176114e+01,-1.549353441598682268e+00
4.184184184184184119e+01,-1.616431657890168072e+00
4.192192192192192124e+01,-1.683238690611535082e+00
4.200200200200200129e+01,-1.749776791120345898e+00
4.208208208208208134e+01,-1.816048177909551642e+00
4.216216216216216139e+01,-1.882055037289665833e+00
4.224224224224224145e+01,-1.947799524053198450e+00
4.232232232232232150e+01,-2.013283762121840681e+00
4.240240240240240155e+01,-2.078509845176875537e+00
4.248248248248248160e+01,-2.143479837273286392e+00
4.256256256256256165e+01,-2.208195773438017095e+00
4.264264264264264170e+01,-2.272659660252832836e+00
4.272272272272272176e+01,-2.336873476422208551e+00
4.280280280280280181e+01,-2.400839173326676956e+00
4.288288288288288186e+01,-2.464558675562044776e+00
4.296296296296296191e+01,-2.528033881464875510e+00
4.304304304304304196e+01,-2.591266663624636646e+00
4.312312312312312201e+01,-2.654258869382887465e+00
4.320320320320320207e+01,-2.717012321319880019e+00
4.328328328328328212e+01,-2.779528817728933898e+00
4.336336336336336217e+01,-2.841810133078935152e+00
4.344344344344344222e+01,-2.903858018465300006e+00
4.352352352352352227e+01,-2.965674202049738195e+00
4.360360360360360232e+01,-3.027260389489129899e+00
4.368368368368368237e+01,-3.088618264353844012e+00
4.376376376376376243e+01,-3.149749488535785957e+00
4.384384384384384248e+01,-3.210655702646481036e+00
4.392392392392392253e+01,-3.271338526405478841e+00
4.400400400400400258e+01,-3.331799559019353207e+00
4.408408408408408263e+01,-3.392040379551573892e+00
4.416416416416416268e+01,-3.452062547283506699e+00
4.424424424424424274e+01,-3.511867602066802707e+00
4.432432432432432279e+01,-3.571457064667420855e+00
4.440440440440440284e+01,-3.630832437101524146e+00
4.448448448448448289e+01,-3.689995202963479048e+00
4.456456456456456294e+01,-3.748946827746193478e+00
4.464464464464464299e+01,-3.807688759153999403e+00
4.472472472472472305e+01,-3.866222427408302575e+00
4.480480480480480310e+01,-3.924549245546200105e+00
4.488488488488488315e+01,-3.982670609712267495e+00
4.496496496496496320e+01,-4.040587899443706554e+00
4.504504504504504325e+01,-4.098302477949042455e+00
4.512512512512512330e+01,-4.155815692380556037e+00
4.520520520520520336e+01,-4.213128874100618759e+00
4.528528528528528341e+01,-4.270243338942107947e+00
4.536536536536536346e+01,-4.327160387463066193e+00
4.544544544544544351e+01,-4.383881305195762579e+00
4.552552552552552356e+01,-4.440407362890317344e+00
4.560560560560560361e+01,-4.496739816753030361e+00
4.568568568568568367e+01,-4.552879908679567045e+00
4.576576576576576372e+01,-4.608828866483147380e+00
4.584584584584584377e+01,-4.664587904117858841e+00
4.592592592592592382e+01,-4.720158221897238882e+00
4.600600600600600387e+01,-4.775541006708256653e+00
4.608608608608608392e+01,-4.830737432220807648e+00
